1	0.000000	fe80::60d5:c2ff:fed6:3b1d	ff02::fb	MDNS	107	Standard query 0x0000 PTR _ipps._tcp.local, "QM" question PTR _ipp._tcp.local, "QM" question
34	11.996699	10.0.1.2	10.0.1.5	TCP	117	9999 → 38882 [PSH, ACK] Seq=460 Ack=301 Win=43520 Len=51 TSval=768778227 TSecr=4221954037 [TCP segment of a reassembled PDU]
35	11.996716	10.0.1.5	10.0.1.2	TCP	66	38882 → 9999 [ACK] Seq=301 Ack=511 Win=42496 Len=0 TSval=4221954038 TSecr=768778227
36	12.997632	10.0.1.5	10.0.1.2	TCP	97	38882 → 9999 [PSH, ACK] Seq=301 Ack=511 Win=42496 Len=31 TSval=4221955039 TSecr=768778227 [TCP segment of a reassembled PDU]
37	12.997890	10.0.1.2	10.0.1.5	TCP	117	9999 → 38882 [PSH, ACK] Seq=511 Ack=332 Win=43520 Len=51 TSval=768779228 TSecr=4221955039 [TCP segment of a reassembled PDU]
38	12.997897	10.0.1.5	10.0.1.2	TCP	66	38882 → 9999 [ACK] Seq=332 Ack=562 Win=42496 Len=0 TSval=4221955039 TSecr=768779228
39	13.999363	10.0.1.5	10.0.1.2	TCP	97	38882 → 9999 [PSH, ACK] Seq=332 Ack=562 Win=42496 Len=31 TSval=4221956040 TSecr=768779228 [TCP segment of a reassembled PDU]
40	13.999890	10.0.1.2	10.0.1.5	TCP	117	9999 → 38882 [PSH, ACK] Seq=562 Ack=363 Win=43520 Len=51 TSval=768780230 TSecr=4221956040 [TCP segment of a reassembled PDU]
41	13.999909	10.0.1.5	10.0.1.2	TCP	66	38882 → 9999 [ACK] Seq=363 Ack=613 Win=42496 Len=0 TSval=4221956041 TSecr=768780230
42	15.001961	10.0.1.5	10.0.1.2	TCP	97	38882 → 9999 [PSH, ACK] Seq=363 Ack=613 Win=42496 Len=31 TSval=4221957043 TSecr=768780230 [TCP segment of a reassembled PDU]
43	15.002331	10.0.1.2	10.0.1.5	TCP	117	9999 → 38882 [PSH, ACK] Seq=613 Ack=394 Win=43520 Len=51 TSval=768781232 TSecr=4221957043 [TCP segment of a reassembled PDU]
44	15.002344	10.0.1.5	10.0.1.2	TCP	66	38882 → 9999 [ACK] Seq=394 Ack=664 Win=42496 Len=0 TSval=4221957043 TSecr=768781232
45	16.004037	10.0.1.5	10.0.1.2	TCP	97	38882 → 9999 [PSH, ACK] Seq=394 Ack=664 Win=42496 Len=31 TSval=4221958045 TSecr=768781232 [TCP segment of a reassembled PDU]
46	16.004680	10.0.1.2	10.0.1.5	TCP	117	9999 → 38882 [PSH, ACK] Seq=664 Ack=425 Win=43520 Len=51 TSval=768782235 TSecr=4221958045 [TCP segment of a reassembled PDU]
47	16.004699	10.0.1.5	10.0.1.2	TCP	66	38882 → 9999 [ACK] Seq=425 Ack=715 Win=42496 Len=0 TSval=4221958046 TSecr=768782235
48	17.006689	10.0.1.5	10.0.1.2	TCP	97	38882 → 9999 [PSH, ACK] Seq=425 Ack=715 Win=42496 Len=31 TSval=4221959048 TSecr=768782235 [TCP segment of a reassembled PDU]
49	17.007266	10.0.1.2	10.0.1.5	TCP	117	9999 → 38882 [PSH, ACK] Seq=715 Ack=456 Win=43520 Len=51 TSval=768783237 TSecr=4221959048 [TCP segment of a reassembled PDU]
50	17.007271	10.0.1.5	10.0.1.2	TCP	66	38882 → 9999 [ACK] Seq=456 Ack=766 Win=42496 Len=0 TSval=4221959048 TSecr=768783237
51	18.008944	10.0.1.5	10.0.1.2	TCP	97	38882 → 9999 [PSH, ACK] Seq=456 Ack=766 Win=42496 Len=31 TSval=4221960050 TSecr=768783237 [TCP segment of a reassembled PDU]
52	18.009372	10.0.1.2	10.0.1.5	TCP	117	9999 → 38882 [PSH, ACK] Seq=766 Ack=487 Win=43520 Len=51 TSval=768784239 TSecr=4221960050 [TCP segment of a reassembled PDU]
53	18.009387	10.0.1.5	10.0.1.2	TCP	66	38882 → 9999 [ACK] Seq=487 Ack=817 Win=42496 Len=0 TSval=4221960050 TSecr=768784239
54	19.011140	10.0.1.5	10.0.1.2	TCP	97	38882 → 9999 [PSH, ACK] Seq=487 Ack=817 Win=42496 Len=31 TSval=4221961052 TSecr=768784239 [TCP segment of a reassembled PDU]
55	19.011637	10.0.1.2	10.0.1.5	TCP	117	9999 → 38882 [PSH, ACK] Seq=817 Ack=518 Win=43520 Len=51 TSval=768785242 TSecr=4221961052 [TCP segment of a reassembled PDU]
56	19.011651	10.0.1.5	10.0.1.2	TCP	66	38882 → 9999 [ACK] Seq=518 Ack=868 Win=42496 Len=0 TSval=4221961053 TSecr=768785242
57	20.013530	10.0.1.5	10.0.1.2	TCP	97	38882 → 9999 [PSH, ACK] Seq=518 Ack=868 Win=42496 Len=31 TSval=4221962055 TSecr=768785242 [TCP segment of a reassembled PDU]
58	20.013965	10.0.1.2	10.0.1.5	TCP	117	9999 → 38882 [PSH, ACK] Seq=868 Ack=549 Win=43520 Len=51 TSval=768786244 TSecr=4221962055 [TCP segment of a reassembled PDU]
59	20.013974	10.0.1.5	10.0.1.2	TCP	66	38882 → 9999 [ACK] Seq=549 Ack=919 Win=42496 Len=0 TSval=4221962055 TSecr=768786244
60	21.015869	10.0.1.5	10.0.1.2	TCP	97	38882 → 9999 [PSH, ACK] Seq=549 Ack=919 Win=42496 Len=31 TSval=4221963057 TSecr=768786244 [TCP segment of a reassembled PDU]
61	21.015989	10.0.1.2	10.0.1.5	TCP	117	9999 → 38882 [PSH, ACK] Seq=919 Ack=580 Win=43520 Len=51 TSval=768787246 TSecr=4221963057 [TCP segment of a reassembled PDU]
62	21.015996	10.0.1.5	10.0.1.2	TCP	66	38882 → 9999 [ACK] Seq=580 Ack=970 Win=42496 Len=0 TSval=4221963057 TSecr=768787246
63	22.016710	10.0.1.5	10.0.1.2	TCP	97	38882 → 9999 [PSH, ACK] Seq=580 Ack=970 Win=42496 Len=31 TSval=4221964058 TSecr=768787246 [TCP segment of a reassembled PDU]
64	22.017268	10.0.1.2	10.0.1.5	TCP	117	9999 → 38882 [PSH, ACK] Seq=970 Ack=611 Win=43520 Len=51 TSval=768788247 TSecr=4221964058 [TCP segment of a reassembled PDU]
65	22.017276	10.0.1.5	10.0.1.2	TCP	66	38882 → 9999 [ACK] Seq=611 Ack=1021 Win=42496 Len=0 TSval=4221964058 TSecr=768788247
66	23.018780	10.0.1.5	10.0.1.2	TCP	97	38882 → 9999 [PSH, ACK] Seq=611 Ack=1021 Win=42496 Len=31 TSval=4221965060 TSecr=768788247 [TCP segment of a reassembled PDU]
67	23.019920	10.0.1.2	10.0.1.5	TCP	117	9999 → 38882 [PSH, ACK] Seq=1021 Ack=642 Win=43520 Len=51 TSval=768789250 TSecr=4221965060 [TCP segment of a reassembled PDU]
68	23.019933	10.0.1.5	10.0.1.2	TCP	66	38882 → 9999 [ACK] Seq=642 Ack=1072 Win=42496 Len=0 TSval=4221965061 TSecr=768789250
69	24.021681	10.0.1.5	10.0.1.2	TCP	97	38882 → 9999 [PSH, ACK] Seq=642 Ack=1072 Win=42496 Len=31 TSval=4221966063 TSecr=768789250 [TCP segment of a reassembled PDU]
70	24.021884	10.0.1.2	10.0.1.5	TCP	117	9999 → 38882 [PSH, ACK] Seq=1072 Ack=673 Win=43520 Len=51 TSval=768790252 TSecr=4221966063 [TCP segment of a reassembled PDU]
71	24.021891	10.0.1.5	10.0.1.2	TCP	66	38882 → 9999 [ACK] Seq=673 Ack=1123 Win=42496 Len=0 TSval=4221966063 TSecr=768790252
72	25.024068	10.0.1.5	10.0.1.2	TCP	97	38882 → 9999 [PSH, ACK] Seq=673 Ack=1123 Win=42496 Len=31 TSval=4221967065 TSecr=768790252 [TCP segment of a reassembled PDU]
73	25.024319	10.0.1.2	10.0.1.5	TCP	117	9999 → 38882 [PSH, ACK] Seq=1123 Ack=704 Win=43520 Len=51 TSval=768791254 TSecr=4221967065 [TCP segment of a reassembled PDU]
74	25.024325	10.0.1.5	10.0.1.2	TCP	66	38882 → 9999 [ACK] Seq=704 Ack=1174 Win=42496 Len=0 TSval=4221967065 TSecr=768791254
75	26.026372	10.0.1.5	10.0.1.2	TCP	97	38882 → 9999 [PSH, ACK] Seq=704 Ack=1174 Win=42496 Len=31 TSval=4221968067 TSecr=768791254 [TCP segment of a reassembled PDU]
76	26.027408	10.0.1.2	10.0.1.5	TCP	117	9999 → 38882 [PSH, ACK] Seq=1174 Ack=735 Win=43520 Len=51 TSval=768792257 TSecr=4221968067 [TCP segment of a reassembled PDU]
77	26.027429	10.0.1.5	10.0.1.2	TCP	66	38882 → 9999 [ACK] Seq=735 Ack=1225 Win=42496 Len=0 TSval=4221968068 TSecr=768792257
78	27.029077	10.0.1.5	10.0.1.2	TCP	97	38882 → 9999 [PSH, ACK] Seq=735 Ack=1225 Win=42496 Len=31 TSval=4221969070 TSecr=768792257 [TCP segment of a reassembled PDU]
79	27.030164	10.0.1.2	10.0.1.5	TCP	117	9999 → 38882 [PSH, ACK] Seq=1225 Ack=766 Win=43520 Len=51 TSval=768793260 TSecr=4221969070 [TCP segment of a reassembled PDU]
80	27.030170	10.0.1.5	10.0.1.2	TCP	66	38882 → 9999 [ACK] Seq=766 Ack=1276 Win=42496 Len=0 TSval=4221969071 TSecr=768793260
81	28.032757	10.0.1.5	10.0.1.2	TCP	97	38882 → 9999 [PSH, ACK] Seq=766 Ack=1276 Win=42496 Len=31 TSval=4221970074 TSecr=768793260 [TCP segment of a reassembled PDU]
82	28.033240	10.0.1.2	10.0.1.5	TCP	117	9999 → 38882 [PSH, ACK] Seq=1276 Ack=797 Win=43520 Len=51 TSval=768794263 TSecr=4221970074 [TCP segment of a reassembled PDU]
83	28.033250	10.0.1.5	10.0.1.2	TCP	66	38882 → 9999 [ACK] Seq=797 Ack=1327 Win=42496 Len=0 TSval=4221970074 TSecr=768794263
84	29.035399	10.0.1.5	10.0.1.2	TCP	97	38882 → 9999 [PSH, ACK] Seq=797 Ack=1327 Win=42496 Len=31 TSval=4221971076 TSecr=768794263 [TCP segment of a reassembled PDU]
85	29.035685	10.0.1.2	10.0.1.5	TCP	117	9999 → 38882 [PSH, ACK] Seq=1327 Ack=828 Win=43520 Len=51 TSval=768795266 TSecr=4221971076 [TCP segment of a reassembled PDU]
86	29.035695	10.0.1.5	10.0.1.2	TCP	66	38882 → 9999 [ACK] Seq=828 Ack=1378 Win=42496 Len=0 TSval=4221971077 TSecr=768795266
87	30.039043	10.0.1.5	10.0.1.2	TCP	97	38882 → 9999 [PSH, ACK] Seq=828 Ack=1378 Win=42496 Len=31 TSval=4221972080 TSecr=768795266 [TCP segment of a reassembled PDU]
88	30.039217	10.0.1.2	10.0.1.5	TCP	117	9999 → 38882 [PSH, ACK] Seq=1378 Ack=859 Win=43520 Len=51 TSval=768796269 TSecr=4221972080 [TCP segment of a reassembled PDU]
89	30.039226	10.0.1.5	10.0.1.2	TCP	66	38882 → 9999 [ACK] Seq=859 Ack=1429 Win=42496 Len=0 TSval=4221972080 TSecr=768796269
90	31.040658	10.0.1.5	10.0.1.2	TCP	97	38882 → 9999 [PSH, ACK] Seq=859 Ack=1429 Win=42496 Len=31 TSval=4221973082 TSecr=768796269 [TCP segment of a reassembled PDU]
91	31.040811	10.0.1.2	10.0.1.5	TCP	117	9999 → 38882 [PSH, ACK] Seq=1429 Ack=890 Win=43520 Len=51 TSval=768797271 TSecr=4221973082 [TCP segment of a reassembled PDU]
92	31.040821	10.0.1.5	10.0.1.2	TCP	66	38882 → 9999 [ACK] Seq=890 Ack=1480 Win=42496 Len=0 TSval=4221973082 TSecr=768797271
