1	0.000000	00:00:00_00:00:03	Broadcast	ARP	42	Who has 10.0.1.2? Tell 10.0.1.5
34	9.024418	10.0.1.5	10.0.1.2	TCP	96	55632 → 9999 [PSH, ACK] Seq=271 Ack=460 Win=42496 Len=30 TSval=4221891392 TSecr=768714580 [TCP segment of a reassembled PDU]
35	9.024609	10.0.1.2	10.0.1.5	TCP	117	9999 → 55632 [PSH, ACK] Seq=460 Ack=301 Win=43520 Len=51 TSval=768715581 TSecr=4221891392 [TCP segment of a reassembled PDU]
36	9.024618	10.0.1.5	10.0.1.2	TCP	66	55632 → 9999 [ACK] Seq=301 Ack=511 Win=42496 Len=0 TSval=4221891392 TSecr=768715581
37	10.026016	10.0.1.5	10.0.1.2	TCP	97	55632 → 9999 [PSH, ACK] Seq=301 Ack=511 Win=42496 Len=31 TSval=4221892394 TSecr=768715581 [TCP segment of a reassembled PDU]
38	10.026211	10.0.1.2	10.0.1.5	TCP	117	9999 → 55632 [PSH, ACK] Seq=511 Ack=332 Win=43520 Len=51 TSval=768716583 TSecr=4221892394 [TCP segment of a reassembled PDU]
39	10.026222	10.0.1.5	10.0.1.2	TCP	66	55632 → 9999 [ACK] Seq=332 Ack=562 Win=42496 Len=0 TSval=4221892394 TSecr=768716583
40	11.027883	10.0.1.5	10.0.1.2	TCP	97	55632 → 9999 [PSH, ACK] Seq=332 Ack=562 Win=42496 Len=31 TSval=4221893395 TSecr=768716583 [TCP segment of a reassembled PDU]
41	11.028438	10.0.1.2	10.0.1.5	TCP	117	9999 → 55632 [PSH, ACK] Seq=562 Ack=363 Win=43520 Len=51 TSval=768717585 TSecr=4221893395 [TCP segment of a reassembled PDU]
42	11.028445	10.0.1.5	10.0.1.2	TCP	66	55632 → 9999 [ACK] Seq=363 Ack=613 Win=42496 Len=0 TSval=4221893396 TSecr=768717585
43	12.030005	10.0.1.5	10.0.1.2	TCP	97	55632 → 9999 [PSH, ACK] Seq=363 Ack=613 Win=42496 Len=31 TSval=4221894398 TSecr=768717585 [TCP segment of a reassembled PDU]
44	12.030398	10.0.1.2	10.0.1.5	TCP	117	9999 → 55632 [PSH, ACK] Seq=613 Ack=394 Win=43520 Len=51 TSval=768718587 TSecr=4221894398 [TCP segment of a reassembled PDU]
45	12.030412	10.0.1.5	10.0.1.2	TCP	66	55632 → 9999 [ACK] Seq=394 Ack=664 Win=42496 Len=0 TSval=4221894398 TSecr=768718587
46	13.032109	10.0.1.5	10.0.1.2	TCP	97	55632 → 9999 [PSH, ACK] Seq=394 Ack=664 Win=42496 Len=31 TSval=4221895400 TSecr=768718587 [TCP segment of a reassembled PDU]
47	13.032425	10.0.1.2	10.0.1.5	TCP	117	9999 → 55632 [PSH, ACK] Seq=664 Ack=425 Win=43520 Len=51 TSval=768719589 TSecr=4221895400 [TCP segment of a reassembled PDU]
48	13.032440	10.0.1.5	10.0.1.2	TCP	66	55632 → 9999 [ACK] Seq=425 Ack=715 Win=42496 Len=0 TSval=4221895400 TSecr=768719589
49	13.893516	10.0.1.5	10.0.1.2	TCP	66	55632 → 9999 [FIN, ACK] Seq=425 Ack=715 Win=42496 Len=0 TSval=4221896261 TSecr=768719589
50	13.894280	10.0.1.2	10.0.1.5	TCP	66	9999 → 55632 [FIN, ACK] Seq=715 Ack=426 Win=43520 Len=0 TSval=768720451 TSecr=4221896261
51	13.894303	10.0.1.5	10.0.1.2	TCP	66	55632 → 9999 [ACK] Seq=426 Ack=716 Win=42496 Len=0 TSval=4221896262 TSecr=768720451
